Cruise,Year,Month,Day,Local time (GMT+7),Area,Station,Lat,Lon,Sample_ID,Total Depth (m),Sampling level,Sampling depth (m),Sample_Type2,D50,OC %,N %,Sed_Temp (°C),Sed_pH,Sed_ORP (mV),Wind speed (m/s),Wind direction (toward-azimuth) angle,Wind direction,Air temperature (๐C),Air pressure (mbar),Sea state,Sea state remark,Cloud cover,Transparency (m),Water temperature_meter (_deg_C),Water temperature_ctd (_deg_C),Water temperature_AAQ (_deg_C),Salinity_meter (psu),Salinity_ctd (psu),Salinity_AAQ (psu),Water_Cond. (mS/cm),Density (kg/m3),DO_Titrate (mg/L),DO_meter (mg/L),DO_CTD (mg/L),DO_AAQ (mg/L),DO_CTD-Corrected (mg/L),TSS (mg/L),Chl-a_spectro (ug/L),Chl-a_ctd (ug/L),Chl-a_AAQ (ug/L),pH,pH_CTD,pH_AAQ,OA,Phytoplankton,Zooplankton,Remark,TA (umol/kgSW),pH@25C (Spectrophotometric method),"pH 
(TOTscale)",pCO2 out (uatm),HCO3 out (umol/kgSW),CO3 out (umol/kgSW),CO2 out (umol/kgSW),"Ca
saturation","Ar
saturation","DIC est.
(umol/kgSW)",Ave,SD,Ave,SD,Saturation (nmol/KgSW),Saturation anomaly (%),Ave,SD,Saturation (nmol/KgSW),Saturation anomaly (%),pN2Oair,Phosphate (uM),Silicate (uM),Nitrite (uM),Ammonia (uM),Nitrate (uM),DOC,"TDN
(uM)","TDP
(uM)","Mn
(nM)","Mo
(nM)","U
(nM)","V
(nM)","Exchangeable Ammonia
(ug/g)","Exchangeable Nitrate
(ug/g)","Exchangeable Silicate
(ug/g)","Exchangeable Phosphate
(ug/g)","Total Phosphorus
(ug/g)","Total Silicate
(ug/g)","Total Nitrogen
(ug/g)","Calcium carbonate
(ug/g)",Total Organic Content (%),Clay,Silt,Sand,Sulfide (umol-S/g),Fraction-1_NH3,Fraction-1_NO2-,Fraction-1_N_Sum,Fraction-2_NH3,Fraction-2_NO2-,Fraction-2_N_Sum,Fraction-3_NH3,Fraction-3_NO2-,Fraction-3_N_Sum,Fraction-4_NH3,Fraction-4_NO2-,Fraction-4_N_Sum,Fraction-1_Phosphorus,Fraction-2_Phosphorus,Fraction-3_Phosphorus,Fraction-4_Phosphorus
GoT,2022,11,18,8:00,,1,13.2663,99.9414,,1.0,S,1,,,,,,,,,,,,,,,,0.4,28.50,28.50,,5.50,5.40,,,,2.68,,2.98,,4.016015558,21.67,0.43670975,,,7.1,,,,,,,2858.451635,7.207400216,7.175906258,6559.940232,2814.799258,20.97876964,197.9032798,0.670980816,0.384123053,3033.681307,,,,,,,,,,,,,,,,,,,,,,,,10.53120189,0.516705707,13.63704544,0.993540557,76.5,1995.213118,1631.447958,0.675005115,1.785,3.4175,42.5375,54.0485,,,,,,,,,,,,,,,,,
GoT,2022,11,19,13:09,,2,13.2777,100.0152,,5.2,S,1,,,,,,,,,,,,,,,,0.8,30.20,30.29,,23.40,23.87,,,,9.68,,9.126,,9.069867956,14.67,1.0970695,,,8.21,,,,,,,2290.177906,8.111573166,8.032089131,465.8920748,1832.712946,194.0542501,12.2730097,5.201190491,3.352619476,2039.040206,,,,,,,,,,,,0.581,78.604,0.357,2.427,1.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,13:09,,2,13.2777,100.0152,,5.2,B,4,,,,,,,,,,,,,,,,0.8,30.00,29.29,,24.60,29.48,,,,5.515,,2.361,,3.5070122,23.2,,,,8.14,,,,,,,2147.286895,7.852545424,7.79071766,777.4033954,1840.437562,125.6413789,20.38787322,3.196635339,2.10527799,1986.466814,,,,,,,,,,,,0.387,68.138,0.428,2.712,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,12:32,,3,13.2645,100.0659,,9.8,S,1,,,,,,,,,,,,,,,,2.8,30.00,30.03,,24.20,24.97,,,,7.23,,6.434,,6.856237846,5.55,0.93863225,,,8,,,,,,,2222.170759,7.91909248,7.845995848,734.3827957,1902.969709,134.1806058,19.3566133,3.558266531,2.304564117,2056.506928,,,,,,,,,,,,0.678,67.889,0.357,1.999,3.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,12:32,,3,13.2645,100.0659,,9.8,M,4.5,,,,,,,,,,,,,,,,2.8,29.40,28.86,,29.10,30.71,,,,4.275,,2.248,,3.414092363,9,,,,8.02,,,,,,,2127.926404,7.814192932,7.75886109,827.0694494,1836.714058,118.4063418,21.77404737,2.977382822,1.966236998,1976.894448,,,,,,,,,,,,0.517,54.717,0.428,2.355,2.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,12:32,,3,13.2645,100.0659,,9.8,B,8.5,,,,,,,,,,,,,,,,2.8,29.00,28.85,,29.70,30.19,,,,4.55,,1.84,,3.078594189,6.95,,,,7.82,,,,,,,2134.570182,7.813707859,7.758443839,834.460045,1846.747352,117.3555879,22.03185707,2.962539906,1.953160591,1986.134797,,,,,,,,,,,,0.517,43.396,7.637,2.213,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,10:48,,4,13.2881,100.1340,,11.6,S,1,,,,,,,,,,,,,,,,3.4,29.90,29.63,,26.50,26.92,,,,6.985,,7.23,,7.510788206,5.4,0.5993845,,,8.13,,,,,,,2154.69572,8.047535357,7.978558538,485.3723459,1737.096669,172.8649468,12.7901611,4.501276265,2.937943637,1922.751777,,,,,,,,,,,,0.387,52.011,0.286,2.284,1.285,,,,,,,,6.708539934,0.935744844,16.92930476,1.435000857,108.95,1551.533837,1395.07075,1.137592464,1.41,1.6765,48.7315,49.594,,,,,,,,,,,,,,,,,
GoT,2022,11,19,10:48,,4,13.2881,100.1340,,11.6,M,5,,,,,,,,,,,,,,,,3.4,29.60,28.86,,27.80,30.88,,,,6.245,,2.452,,3.58184145,9.37,,,,8.05,,,,,,,2117.508135,7.940534675,7.883727727,589.1942838,1745.928781,150.667203,15.49936668,3.783026527,2.499558098,1912.095351,,,,,,,,,,,,0.323,50.587,0.214,2.712,1.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,10:48,,4,13.2881,100.1340,,11.6,B,10,,,,,,,,,,,,,,,,3.4,29.00,28.82,,30.10,30.98,,,,3.875,,2.223,,3.393534877,25.33,,,,7.82,,,,,,,2122.314759,7.773217638,7.718916536,912.6451048,1852.585056,109.5186479,24.02108189,2.745377895,1.814344341,1986.124786,,,,,,,,,,,,0.355,40.299,5.996,2.284,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,12:05,,5,13.2967,100.0825,,9.3,S,1,,,,,,,,,,,,,,,,3.2,29.90,29.83,,25.20,26.58,,,,5.275,,5.614,,6.1819523,7.5,0.71938325,,,7.93,,,,,,,2211.12587,7.828004069,7.759249129,898.3824826,1933.296709,115.8762909,23.60227076,3.028346254,1.974894766,2072.775271,,,,,,,,,,,,0.484,66.536,0.714,3.854,3.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
